mytv,#genre#
QQ1061966782,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-1/1.m3u8
央视,#genre#
CCTV-1综合,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-1/1.m3u8
CCTV-1综合,http://223.110.243.159/ott.js.chinamobile.com/PLTV/3/224/3221227725/index.m3u8
CCTV-1综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1综合,http://39.135.34.150:8080/000000001000/1000000001000021973/1.m3u8?I
CCTV-1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV-1综合,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225777/index.m3u8?fmt=ts2hls
CCTV-2财经,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225706/index.m3u8?fmt=ts2hls
CCTV-2财经,http://39.135.34.150:8080/000000001000/1000000001000012442/1.m3u8?I
CCTV-2财经,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-2/1.m3u8
CCTV-2财经,http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221227696/index.m3u8
CCTV-2财经,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2财经,http://39.134.39.39/PLTV/88888888/224/3221226220/index.m3u8
CCTV-2财经,http://ott.js.chinamobile.com/PLTV/3/224/3221227427/index.m3u8
CCTV-2财经,http://ott.js.chinamobile.com/PLTV/3/224/3221227696/index.m3u8
CCTV-2财经,http://ott.js.chinamobile.com/PLTV/3/224/3221227708/index.m3u8
CCTV-3综艺,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-3/1.m3u8
CCTV-3综艺,http://223.110.243.154/ott.js.chinamobile.com/PLTV/3/224/3221227650/index.m3u8
CCTV-3综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV-3综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3综艺,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV-3综艺,http://ott.js.chinamobile.com/PLTV/3/224/3221227424/index.m3u8
CCTV-3综艺,http://ott.js.chinamobile.com/PLTV/3/224/3221227650/index.m3u8
CCTV-3综艺,http://39.135.34.150:8080/000000001000/1000000001000011218/1.m3u8?I
CCTV-3综艺,http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8
CCTV-3综艺,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8?fmt=ts2hls
CCTV-4中文国际,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225779/index.m3u8?fmt=ts2hls
CCTV-4中文国际,http://39.135.34.150:8080/000000001000/1000000002000031664/1.m3u8?I
CCTV-4中文国际,http://117.136.154.86/PLTV/88888888/224/3221225501/index.m3u8
CCTV-4中文国际,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-4/1.m3u8
CCTV-4中文国际,http://223.110.245.142/ott.js.chinamobile.com/PLTV/3/224/3221227658/index.m3u8
CCTV-4中文国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-5体育,http://39.135.34.150:8080/000000001000/1000000001000004794/1.m3u8?I
CCTV-5体育,http://117.136.154.98/PLTV/88888888/224/3221225780/index.m3u8
CCTV-5体育,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv5/HD-8000k-1080P-cctv5
CCTV-5体育,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227661/index.m3u8
CCTV-5体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5体育,http://39.134.39.39/PLTV/88888888/224/3221226146/index.m3u8
CCTV-5体育,http://39.134.39.39/PLTV/88888888/224/3221226224/index.m3u8
CCTV-5体育,http://39.134.65.208/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5体育,http://39.135.32.26:6610/000000001000/1000000003000030177/1.m3u8?
CCTV-5体育,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226024/index.m3u8?fmt=ts2hls
CCTV-5+体育赛事,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5+体育赛事,http://ott.js.chinamobile.com/PLTV/3/224/3221227685/index.m3u8
CCTV-5+体育赛事,http://ott.js.chinamobile.com/PLTV/3/224/3221227714/index.m3u8
CCTV-5+体育赛事,http://117.136.154.98/PLTV/88888888/224/3221225512/index.m3u8
CCTV-5+体育赛事,http://223.110.243.165/ott.js.chinamobile.com/PLTV/3/224/3221227631/index.m3u8
CCTV-5+体育赛事,http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV-5+体育赛事,http://39.134.39.39/PLTV/88888888/224/3221226253/index.m3u8
CCTV-5+体育赛事,http://39.135.34.150:8080/000000001000/1000000001000020505/1.m3u8?I
CCTV-5+体育赛事,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226128/index.m3u8?fmt=ts2hls
CCTV-6电影,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-6/1.m3u8
CCTV-6电影,http://223.110.246.70/ott.js.chinamobile.com/PLTV/4/224/3221227430/index.m3u8
CCTV-6电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV-6电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV-6电影,http://39.134.39.39/PLTV/88888888/224/3221226148/index.m3u8
CCTV-6电影,http://39.134.39.39/PLTV/88888888/224/3221226226/index.m3u8
CCTV-6电影,http://39.135.34.150:8080/000000001000/1000000001000016466/1.m3u8?I
CCTV-6电影,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8?fmt=ts2hls
CCTV-7国防军事,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225745/index.m3u8?fmt=ts2hls
CCTV-7国防军事,http://39.135.34.150:8080/000000001000/7050628689018054317/1.m3u8?I
CCTV-7国防军事,http://117.136.154.68/PLTV/88888888/224/3221225504/index.m3u8
CCTV-7国防军事,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-7/1.m3u8
CCTV-7国防军事,http://223.110.243.147/ott.js.chinamobile.com/PLTV/3/224/3221227690/index.m3u8
CCTV-7国防军事,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV-8电视剧,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-8/1.m3u8
CCTV-8电视剧,http://223.110.243.141/ott.js.chinamobile.com/PLTV/3/224/3221227629/index.m3u8
CCTV-8电视剧,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV-8电视剧,http://39.134.39.39/PLTV/88888888/224/3221226150/index.m3u8
CCTV-8电视剧,http://39.134.39.39/PLTV/88888888/224/3221226257/index.m3u8
CCTV-8电视剧,http://39.135.34.150:8080/000000001000/1000000001000003736/1.m3u8?I
CCTV-8电视剧,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226005/index.m3u8?fmt=ts2hls
CCTV-9纪录,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226031/index.m3u8?fmt=ts2hls
CCTV-9纪录,http://39.135.34.150:8080/000000001000/1000000001000014583/1.m3u8?I
CCTV-9纪录,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv9/HD-8000k-1080P-cctv9
CCTV-9纪录,http://223.110.243.151/ott.js.chinamobile.com/PLTV/3/224/3221227614/index.m3u8
CCTV-9纪录,http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV-9纪录,http://39.134.115.163:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV-9纪录,http://ott.js.chinamobile.com/PLTV/3/224/3221227614/index.m3u8
CCTV-9纪录,http://ott.js.chinamobile.com/PLTV/3/224/3221227659/index.m3u8
CCTV-10科教,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-10/1.m3u8
CCTV-10科教,http://223.110.243.148/ott.js.chinamobile.com/PLTV/3/224/3221227620/index.m3u8
CCTV-10科教,http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV-10科教,http://39.134.115.163:8080/PLTV/88888910/224/3221225636/index.m3u8
CCTV-10科教,http://ott.js.chinamobile.com/PLTV/3/224/3221227717/index.m3u8
CCTV-10科教,http://39.135.34.150:8080/000000001000/7019587760656900133/1.m3u8?I
CCTV-10科教,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8?fmt=ts2hls
CCTV-11戏曲,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225746/index.m3u8?fmt=ts2hls
CCTV-11戏曲,http://39.135.34.150:8080/000000001000/1000000002000019789/1.m3u8?I
CCTV-11戏曲,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-11/1.m3u8
CCTV-11戏曲,http://223.110.243.158/ott.js.chinamobile.com/PLTV/3/224/3221227720/index.m3u8
CCTV-11戏曲,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV-12社会与法,http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV-12社会与法,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-12/1.m3u8
CCTV-12社会与法,http://223.110.243.165/ott.js.chinamobile.com/PLTV/3/224/3221227637/index.m3u8
CCTV-12社会与法,http://39.135.34.150:8080/000000001000/5325631075193490169/1.m3u8?I
CCTV-12社会与法,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225747/index.m3u8?fmt=ts2hls
CCTV-13新闻,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225748/index.m3u8?fmt=ts2hls
CCTV-13新闻,http://39.135.34.150:8080/000000001000/1000000002000021303/1.m3u8?I
CCTV-13新闻,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13新闻,http://39.135.138.58:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13新闻,http://hw-m-l.cztv.com/channels/lantian/channel16/1080p.m3u8
CCTV-13新闻,http://ott.js.chinamobile.com/PLTV/3/224/3221227387/index.m3u8
CCTV-14少儿,http://117.136.154.68/PLTV/88888888/224/3221225509/index.m3u8
CCTV-14少儿,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-14/1.m3u8
CCTV-14少儿,http://223.110.243.141/ott.js.chinamobile.com/PLTV/3/224/3221227693/index.m3u8
CCTV-14少儿,http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV-14少儿,http://39.134.39.39/PLTV/88888888/224/3221226166/index.m3u8
CCTV-14少儿,http://39.135.34.150:8080/000000001000/8203666801302077036/1.m3u8?I
CCTV-14少儿,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225727/index.m3u8?fmt=ts2hls
CCTV-15音乐,http://39.135.34.150:8080/000000001000/1000000002000008163/1.m3u8?I
CCTV-15音乐,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-15/1.m3u8
CCTV-15音乐,http://223.110.243.154/ott.js.chinamobile.com/PLTV/3/224/3221227723/index.m3u8
CCTV-15音乐,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV16 高清,https://cctvalih5ca.v.myalicdn.com/live/cctv16_2/index.m3u8
CCTV-16 奥运,https://cctvalih5ca.v.myalicdn.com/live/cctv16_2/index.m3u8
CCTV-17农业农村,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221227726/index.m3u8
CCTV-17农业农村,http://39.135.34.140:8080/000000001000/1000000005000056836/1.m3u8?I
CCTV-17农业农村,http://223.110.241.137:6610/gitv/live1/G_CCTV-17/G_CCTV-17/?type=.m3u8
CCTV-17农业农村,http://39.136.18.77/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226027/index.m3u8?fmt=ts2hls
CCTV-4K超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV-4国际,http://ott.js.chinamobile.com/PLTV/3/224/3221227658/index.m3u8
CCTV-4国际,http://ott.js.chinamobile.com/PLTV/3/224/3221227683/index.m3u8
CCTV-4美洲,https://cctvcnch5ca.v.wscdns.com/live/cctvamerica_2/index.m3u8
CCTV-4美洲,http://cctvtxyh5ca.liveplay.myqcloud.com/live/cctvamerica_2_hd/index.m3u8
CCTV-4欧洲,http://117.148.179.160/PLTV/88888888/224/3221231615/index.m3u8
CCTV-4欧洲,http://cctvalih5ca.v.myalicdn.com/live/cctveurope_2/index.m3u8
CCTV-4欧洲,http://cctvtxyh5ca.liveplay.myqcloud.com/live/cctveurope_2_hd/index.m3u8
CGTN-国际频道,http://live.cgtn.com/1000/prog_index.m3u8
卫视,#genre#
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225691/index.m3u8
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8
安徽卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225691/index.m3u8
北京卫视,http://117.169.124.14:6610/ysten-businessmobile/live/HD-8000k-1080P-beijingstv/1.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225674/index.m3u8
北京卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225674/index.m3u8
东方卫视,http://117.169.124.14:6610/ysten-businessmobile/live/HD-8000k-1080P-dongfangstv/1.m3u8
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225659/index.m3u8
东方卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225659/index.m3u8
东南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
东南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225657/index.m3u8
甘肃卫视,http://39.134.39.39/PLTV/88888888/224/3221226240/index.m3u8
甘肃卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225724/index.m3u8
广东卫视,http://117.169.124.14:6610/ysten-businessmobile/live/HD-8000k-1080P-guangdongstv/1.m3u8
广东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225701/index.m3u8
广东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225742/index.m3u8
广东卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225701/index.m3u8
广西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225731/index.m3u8
广西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225731/index.m3u8
贵州卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225728/index.m3u8
贵州卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225728/index.m3u8
海南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225722/index.m3u8
河北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225732/index.m3u8
河北卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225732/index.m3u8
湖北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225699/index.m3u8
湖北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225740/index.m3u8
湖北卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225699/index.m3u8
湖南卫视,http://117.169.124.14:6610/ysten-businessmobile/live/HD-8000k-1080P-hunanstv/1.m3u8
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225704/index.m3u8
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8
湖南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225704/index.m3u8
吉林卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225680/index.m3u8
吉林卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225680/index.m3u8
江苏卫视,http://117.169.124.14:6610/ysten-businessmobile/live/HD-8000k-1080P-jiangsustv/1.m3u8
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225702/index.m3u8
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8
江苏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225702/index.m3u8
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225705/index.m3u8
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8
江西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225705/index.m3u8
辽宁卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225696/index.m3u8
辽宁卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8
辽宁卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225696/index.m3u8
龙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225690/index.m3u8
龙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225736/index.m3u8
龙江卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225690/index.m3u8
内蒙古卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225667/index.m3u8
宁夏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8
宁夏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225726/index.m3u8
青海卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225727/index.m3u8
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225697/index.m3u8
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8
山东卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225697/index.m3u8
山西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225730/index.m3u8
山西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225730/index.m3u8
陕西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225729/index.m3u8
深圳卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225700/index.m3u8
深圳卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
深圳卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225700/index.m3u8
四川卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225733/index.m3u8
四川卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225733/index.m3u8
天津卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225698/index.m3u8
天津卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225739/index.m3u8
天津卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225698/index.m3u8
西藏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225723/index.m3u8
新疆卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225725/index.m3u8
云南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225664/index.m3u8
云南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225664/index.m3u8
浙江卫视,http://117.169.124.14:6610/ysten-businessmobile/live/HD-8000k-1080P-zhejiangstv/1.m3u8
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225703/index.m3u8
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225744/index.m3u8
浙江卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225703/index.m3u8
重庆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225692/index.m3u8
重庆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225734/index.m3u8
重庆卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225692/index.m3u8
上海纪实,http://39.135.138.59:18890/PLTV/88888910/224/3221225655/index.m3u8
旅游卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225722/index.m3u8
康巴卫视,http://scgctvshow.sctv.com/hdlive/kangba/1.m3u8
冬奥纪实,http://117.169.124.14:6610/ysten-businessmobile/live/HD-8000k-1080P-beijingjishi/1.m3u8
北京纪实,http://39.135.138.59:18890/PLTV/88888910/224/3221225676/index.m3u8
纯享 4 K,http://39.135.138.59:18890/PLTV/88888910/224/3221225786/index.m3u8
地方,#genre#
浙江 Ⅰ 浙江钱江,http://hw-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8?k=ace136d16e3700972b06cca5316b34d8&t=1577153432
浙江 Ⅰ 浙江钱江,http://hw-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8
浙江 Ⅰ 浙江经视,http://yd-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8?k=3bc164885721feecc386b066a39b8567&t=1577153471
浙江 Ⅰ 浙江六套,http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8?k=7902d458851930a3cab9763349e1425c&t=1577153702
浙江 Ⅰ 浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8?k=4812130c6c3788cf5c6a6ba64a47678c&t=1577153743
浙江 Ⅰ 浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
浙江 Ⅰ 浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8?k=1a7559a51eeb880b021619a07f463ac4&t=1577153787
浙江 Ⅰ 浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8
浙江 Ⅰ 浙江留学,http://hw-m-l.cztv.com/channels/lantian/channel09/1080p.m3u8?k=e50bfc43311fc5aecad39f294634bb01&t=1577153817
浙江 Ⅰ 浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8?k=48877e6c28c2a0215eb8712eb48b888d&t=1577153884
浙江 Ⅰ 柯桥综合,http://live.scbtv.cn/hls/news/index.m3u8
浙江 Ⅰ 柯桥时尚,http://live.scbtv.cn/hls/qfc/index.m3u8
浙江 Ⅰ 浙江影视,http://hw-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8
浙江 Ⅰ 浙江教育,http://hw-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8
浙江 Ⅰ 浙江休闲,http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8
浙江 Ⅰ 浙江经济,http://hw-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
浙江 Ⅰ 留学世界,http://hw-m-l.cztv.com/channels/lantian/channel09/1080p.m3u8
浙江 Ⅰ 舟山综合,http://live.wifizs.cn/xwzh/sd/live.m3u8
浙江 Ⅰ 舟山生活,http://live.wifizs.cn/ggsh/sd/live.m3u8
浙江 Ⅰ 绍兴综合,http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8
浙江 Ⅰ 绍兴影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
浙江 Ⅰ 绍兴公共,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
江苏 Ⅰ 靖江电视,http://58.222.151.43:1935/live/xwzhpc/playlist.m3u8
江苏 Ⅰ 吴江综合,http://30515.hlsplay.aodianyun.com/lms_30515/tv_channel_239.m3u8
江苏 Ⅰ 张家港综合,http://3gvod.zjgonline.com.cn:1935/live/xinwenzonghe2/playlist.m3u8
江苏 Ⅰ 张家港民生,http://3gvod.zjgonline.com.cn:1935/live/shehuishenghuo2/playlist.m3u8
江苏 Ⅰ 连云港综合,http://live.lyg1.com/zhpd/sd/live.m3u8
江苏 Ⅰ 连云港公共,http://live.lyg1.com/ggpd/sd/live.m3u8
江苏 Ⅰ 淮安综合,http://stream.habctv.com/xwzh/sd/live.m3u8
江苏 Ⅰ 淮安公共,http://stream.habctv.com/hagg/sd/live.m3u8
江苏 Ⅰ 淮安影视,http://stream.habctv.com/ysyl/sd/live.m3u8
江苏 Ⅰ 徐州综合,http://stream1.huaihai.tv/xwzh/playlist.m3u8
江苏 Ⅰ 徐州生活,http://stream1.huaihai.tv/jjsh/playlist.m3u8
江苏 Ⅰ 徐州影视,http://stream1.huaihai.tv/wyys/playlist.m3u8
江苏 Ⅰ 徐州影视,http://183.207.248.15/PLTV/3/224/3221225949/index.m3u8
江苏 Ⅰ 徐州公共,http://stream1.huaihai.tv/ggpd/playlist.m3u8
江苏 Ⅰ 徐州公共,http://183.207.248.11/PLTV/3/224/3221225951/index.m3u8
重庆 Ⅰ 万州综合,http://123.146.162.24:8017/iTXwrGs/800/live.m3u8
重庆 Ⅰ 万州影视,http://wanzhoulive.cbg.cn:8017/d4ceB1a/1000/live.m3u8
重庆 Ⅰ 万盛综合,http://qxlmlive.cbg.cn:1935/app_2/ls_40.stream/playlist.m3u8
广西 Ⅰ 钦州综合,http://stream.gxqztv.com/01/sd/live.m3u8
广西 Ⅰ 钦州综合,http://stream.gxqztv.com/01/playlist.m3u8
广西 Ⅰ 钦州公共,http://stream.gxqztv.com/qztv03/sd/live.m3u8
广西 Ⅰ 钦州公共,http://stream.gxqztv.com/qztv03/playlist.m3u8
广西 Ⅰ 马山新闻,http://hls.nntv.cn/nnlive/MSTV_A.m3u8
广西 Ⅰ 忻城综合,http://222.216.244.93:19355/xctv/ch2.m3u8
广西 Ⅰ 北流电视,http://124.226.233.4:81/hls/001/index.m3u8
湖南 Ⅰ 娄底综合,http://mms.ldntv.cn:1935/live/zonghe/playlist.m3u8
湖南 Ⅰ 湘潭综合,http://live.hnxttv.com:9601/live/xwzh/800K/tzwj_video.m3u8
安徽 Ⅰ 安徽影视,http://zbbf2.ahtv.cn/live/756.m3u8
安徽 Ⅰ 安徽公共,http://zbbf2.ahtv.cn/live/752.m3u8
安徽 Ⅰ 安徽生活,http://zbbf2.ahtv.cn/live/750.m3u8
安徽 Ⅰ 安徽科教,http://zbbf2.ahtv.cn/live/754.m3u8
安徽 Ⅰ 六安综合,http://live.china-latv.com/channel1/sd/live.m3u8
安徽 Ⅰ 六安公共,http://live.china-latv.com/channel2/sd/live.m3u8
安徽 Ⅰ 淮北综合,http://live.0561rtv.cn/xwzh/hd/live.m3u8
安徽 Ⅰ 淮北公共,http://live.0561rtv.cn/ggpd/hd/live.m3u8
安徽 Ⅰ 铜陵综合,http://dstpush1.retalltech.com/app/stream1.m3u8
安徽 Ⅰ 铜陵公共,http://dstpush1.retalltech.com/app/stream2.m3u8
云南 Ⅰ 楚雄公共,http://hwzbout.yunshicloud.com/gbqei5/12661u.m3u8
云南 Ⅰ 红河综合,http://file.hhtv.cc/cms/videos/nmip-media/channellive/channel1/playlist.m3u8
云南 Ⅰ 丽江公共,http://hwzbout.yunshicloud.com/mj1170/06qk26.m3u8
云南 Ⅰ 西双版纳1,http://file.xsbnrtv.cn/vms/videos/nmip-media/channellive/channel1/playlist.m3u8
